artist,genres
Witchtrap,"['black thrash', 'metal colombiano']"
Izïa,"['french indie pop', 'french indietronica', 'french rock', 'nouvelle chanson francaise']"
"DJ Drama Featuring 2 Chainz, Meek Mill & Jeremih","['dirty south rap', 'gangster rap', 'hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Pitbull Featuring TJR,"['dance pop', 'latin', 'miami hip hop', 'pop', 'pop rap']"
Chris Brown & Tyga,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']"
"quickly, quickly","['chillhop', 'future bass', 'lo-fi beats', 'portland hip hop', 'vapor twitch']"
JPEGMAFIA,"['alternative hip hop', 'escape room', 'experimental hip hop', 'hip hop', 'industrial hip hop', 'rap', 'underground hip hop']"
Expire,"['chaotic hardcore', 'dreamo', 'melodic hardcore', 'metallic hardcore']"
Winterwolf,['finnish death metal']
G-Eazy Featuring A$AP Rocky & Cardi B,"['indie pop rap', 'oakland hip hop', 'pop', 'pop rap', 'rap']"
Ben Lukas Boysen,"['abstract idm', 'ambient', 'compositional ambient', 'drift', 'drone', 'electronica', 'neo-classical']"
Chief Keef Featuring Lil Reese,"['chicago bop', 'chicago drill', 'chicago rap', 'drill', 'hip hop', 'rap', 'southern hip hop', 'trap', 'underground hip hop']"
Craig Armstrong,"['british soundtrack', 'compositional ambient', 'orchestral soundtrack', 'scorecore', 'soundtrack']"
Chris Blue,['deep talent show']
"YG, Tyga & Jon Z","['cali rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
A Boogie Wit da Hoodie Featuring Offset & Tyga,"['melodic rap', 'rap', 'trap']"
Danne Stråhed,"['classic swedish pop', 'dansband', 'danspunk', 'skansk musik']"
Lupe Fiasco,"['chicago rap', 'conscious hip hop', 'gangster rap', 'hip hop', 'political hip hop', 'pop rap', 'rap', 'southern hip hop']"
DJ Khaled Featuring Jay Z & Future,"['dance pop', 'dirty south rap', 'hip hop', 'miami hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Linkin Park Featuring Kiiara,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']"
I Will Never Be The Same,['future rock']
Assaulter,['black thrash']
Trey Songz,"['dance pop', 'hip pop', 'pop', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']"
Fleddy Melculy,['belgian metal']
Mikkel Metal,"['danish techno', 'dub techno', 'microhouse']"
Jeremih Featuring J. Cole,"['chicago rap', 'dance pop', 'pop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']"
Roscoe Dash,"['atl hip hop', 'dirty south rap', 'futuristic swag', 'pop rap', 'southern hip hop', 'trap']"
Sun Diego,"['deep german hip hop', 'german hip hop']"
Eric Church,"['contemporary country', 'country', 'country road', 'modern country rock']"
Mr. Lif,"['abstract hip hop', 'alternative hip hop', 'boston hip hop', 'conscious hip hop', 'east coast hip hop', 'turntablism', 'underground rap']"
